Project_ID,Emirate,Project_Name,Type_of_Work,Contractor,Start_Date,End_Date,Actual_End_Date,Task_Status,Budget,Cost,Cost_Variance,Labor_Hours
PRJ-UAE-661,Dubai,Al Safouh - Zabeel - Dubai,Premarking,Vendor G,09/04/2022,26/04/2022,19/05/2022,Completed,1409898,1746164.47,336266.47,2019
PRJ-UAE-381,Abu Dhabi,Al Forsan Khalifa Project,Cold Marking,Vendor E,11/04/2022,29/06/2022,06/07/2022,Completed,2333743,2170499.38,-163243.62,1421
PRJ-UAE-559,Abu Dhabi,"TIP CE Multiple Project at Tawazun Industrial Park Abu Dhabi, Al Ajban",Cleaning,Vendor G,11/04/2022,05/07/2022,21/07/2022,Completed,627892,610555.18,-17336.82,1625
PRJ-UAE-653,Abu Dhabi,"Road Marking Habshan,Abu Dhabi",Epoxy Floor Coating System,Vendor C,14/04/2022,10/07/2022,24/07/2022,Completed,728375,698964.12,-29410.88,2006
PRJ-UAE-563,Sharjah,"Al Zahia South Gate,Sharjah",Epoxy Floor Coating System,Vendor D,16/04/2022,08/06/2022,06/06/2022,Completed,872674,995434.1,122760.1,232
PRJ-UAE-561,Ajman,Design & Build Contract for Road Extension in ICAD and DIC Facilities,Machine Marking TP,Vendor E,16/04/2022,12/05/2022,22/05/2022,Completed,551694,508438.67,-43255.33,2177
PRJ-UAE-335,abu dhabi,Car parking marking on interlock floor in Mussafah,Hand Marking TP,Vendor A,18/04/2022,09/05/2022,25/05/2022,Completed,1761415,1756764.98,-4650.02,2254
PRJ-UAE-868,Ajman,Emirates Hills,Sand Blasting,Vendor A,19/04/2022,05/07/2022,10/07/2022,Completed,655345,799339.54,143994.54,2228
PRJ-UAE-498,Al Ain,AMMROC AL AIN,Hand Marking TP,Vendor F,19/04/2022,10/07/2022,07/07/2022,Completed,1002439,958109.12,-44329.88,798
PRJ-UAE-204,Abu Dhabi,"Tal Morâ€™eb Cycling Track project (Liwa , Al Dhafra region)",Maintenance,Vendor B,19/04/2022,13/06/2022,12/06/2022,Completed,1972522,2026781.77,54259.77,
PRJ-UAE-308,Abu Dhabi,ERTH Abu Dhabi Hotel (Formerly AFOC&H),Hand Marking TP,Vendor F,20/04/2022,25/05/2022,14/06/2022,Completed,1160315,1124981.03,-35333.97,2645
PRJ-UAE-621,Ajman,"Completion of Storm Water Network for Shk Zayed Road (Phase 2), Ajman",Hand Marking TP,Vendor B,20/04/2022,08/06/2022,07/06/2022,Completed,405104,415340.86,10236.86,922
PRJ-UAE-219,Abu Dhabi,AJ-449 - Noon E-Fullfillment Center in Kizad - Abu Dhabi,Sand Blasting,Vendor C,21/04/2022,20/06/2022,13/07/2022,Completed,,1022010.23,-4657.77,2204
PRJ-UAE-193,Ajman,04 / 2025 Implementation and Improvement of roads in AL-Hamidiyah area - Ajman,Hand Marking TP,Vendor F,21/04/2022,13/07/2022,11/07/2022,Completed,894568,921126.74,26558.74,192
PRJ-UAE-440,Dubai,"Road Marking works at The Peninsula Business Bay, Dubai -UAE",Hand Marking TP,Vendor G,21/04/2022,01/07/2022,27/06/2022,Completed,1126675,1394685.18,268010.18,551
PRJ-UAE-894,Sharjah,Kuwaiti Hospital Parking -Sharjah UAE,Cleaning,Vendor D,21/04/2022,18/05/2022,08/06/2022,Completed,471960,435398.64,-36561.36,1713
PRJ-UAE-509,Sharjah,"E311- Road Marking Works at Wasit in SHJ to Khalifa2 UAQ, Ras Al Khaimah, U.A.E",Epoxy Floor Coating System,Vendor C,21/04/2022,13/06/2022,05/07/2022,Completed,1247754,1337826.53,90072.53,1492
PRJ-UAE-716,Abu Dhabi,"ASAB- GYM at Umm Al Nar, Abu Dhabi",Maintenance,Vendor D,22/04/2022,09/07/2022,24/07/2022,Completed,1557400,1817816.3,260416.3,1066
PRJ-UAE-132,Al Ain,CMW-22085 -Al Ain,Hand Marking TP,Vendor B,22/04/2022,16/06/2022,03/07/2022,Completed,,1728978.16,258033.16,2680
PRJ-UAE-889,Dubai,Road Marking works at Al Khwaneej First - Dubai,Hand Marking TP,Vendor E,23/04/2022,09/05/2022,02/06/2022,Completed,1450872,1438686.64,-12185.36,1612
PRJ-UAE-412,UAQ,CMW-22116-C001,Cold Marking,Vendor G,24/04/2022,17/06/2022,15/06/2022,Completed,356293,356165.35,-127.65,1421
PRJ-UAE-396,Dubai,Road Marking in Dubai Hills Estate,Machine Marking TP,Vendor A,24/04/2022,21/06/2022,13/07/2022,Completed,2244098,2218206.45,-25891.55,990
PRJ-UAE-412,,Entrance for Civil Defense in Al Madam - Sharjah,Premarking,Vendor G,25/04/2022,12/07/2022,12/07/2022,Completed,1061264,999253.86,-62010.14,190
PRJ-UAE-710,Abu Dhabi,"Al Jareen Street, Abu Dhabi, NDRC 6",Cold Marking,Vendor D,25/04/2022,20/05/2022,29/05/2022,Completed,1765646,1967986.18,202340.18,1807
PRJ-UAE-563,Abu Dhabi,"Emirates Diplomatic Academy, Abu Dhabi",Sand Blasting,Vendor D,26/04/2022,21/05/2022,13/06/2022,Completed,2289553,2260451.97,-29101.03,1326
PRJ-UAE-280,Dubai,"JAFZA South Accommodation Phase 3,Dubai,UAE-RDJ-125",Maintenance,Vendor A,26/04/2022,18/07/2022,15/07/2022,Completed,784508,772432.41,-12075.59,1631
PRJ-UAE-157,Dubai,"Road Marking at Al Qudra, Dubai",Sand Blasting,Vendor F,27/04/2022,27/06/2022,02/07/2022,Completed,506010,518305.32,12295.32,872
PRJ-UAE-769,Abu Dhabi,"Automotive Precision Technology at Kizad , Abu Dhabi-UAE",Maintenance,Vendor B,27/04/2022,20/07/2022,27/07/2022,Completed,1045828,1035350.57,-10477.43,2549
PRJ-UAE-451,RAK,Construction of Roads & Infrastructure at Miscellaneous Areas in Gayathi City & its Suburbs-,Cleaning,Vendor A,27/04/2022,05/06/2022,03/06/2022,Completed,457923,440140.97,-17782.03,2527
PRJ-UAE-745,Abu Dhabi,Design and Construction of 67 Parks and Playgrounds in Various Areas in the City of Abu Dhabi,Cleaning,Vendor D,27/04/2022,20/06/2022,07/07/2022,Completed,1897238,1757719.46,-139518.54,1377
PRJ-UAE-589,Sharjah,R1753 Access Road & Parking for Atika School at Khorfakkan - Sharjah,Maintenance,Vendor F,28/04/2022,26/05/2022,12/06/2022,Completed,1253008,1190401.57,-62606.43,926
PRJ-UAE-229,UAQ,Road Marking at Sweihan Site,Cold Marking,Vendor D,28/04/2022,30/05/2022,26/05/2022,Completed,602521,619317.21,16796.21,631
PRJ-UAE-694,Sharjah,Etihad Rail - Juction L - Al Dhaid,Hand Marking TP,Vendor F,29/04/2022,23/07/2022,23/07/2022,Completed,1454815,1464749.47,9934.47,629
PRJ-UAE-625,Ajman,Etihad Rail Network,Epoxy Floor Coating System,Vendor E,30/04/2022,27/07/2022,23/07/2022,Completed,142301,135368.13,-6932.87,1207
PRJ-UAE-288,Abu Dhabi,Emirati Housing Development - West Baniya (1500) Villas at Abu Dhabi,Cold Marking,Vendor G,01/05/2022,19/05/2022,16/05/2022,Completed,800233,803764.58,3531.58,1534
PRJ-UAE-635,Dubai,Etihad Rail (Package 2C Dubai),Epoxy Floor Coating System,Vendor E,01/05/2022,23/06/2022,21/06/2022,Completed,2337646,2673360.83,335714.83,626
PRJ-UAE-300,Ajman,ROAD MARKING IN AL QUDRA,Cleaning,Vendor B,02/05/2022,25/07/2022,22/07/2022,Completed,132042,132224.65,182.65,1372
PRJ-UAE-445,Fujairah,P 167 - Enoc Staff Accommodation,Cold Marking,Vendor E,03/05/2022,14/06/2022,28/06/2022,Completed,737466,900977.17,163511.17,2741
PRJ-UAE-110,,E198 Diwan Building Helipad System Madinat Zayed Al Dhafra  Region,Machine Marking TP,Vendor E,03/05/2022,29/07/2022,27/07/2022,Completed,2161675,2660563.97,498888.97,462
PRJ-UAE-457,Dubai,"Al Khawaneej Mosque Parking, Dubai-UAE",Machine Marking TP,Vendor E,03/05/2022,04/07/2022,14/07/2022,Completed,1909813,2183924.75,274111.75,1146
PRJ-UAE-280,Dubai,Go Kart Track Marking in Lahbab - Dubai,Hand Marking TP,Vendor C,04/05/2022,01/06/2022,30/05/2022,Completed,2382541,2873198.41,490657.41,106
PRJ-UAE-289,Dubai,0213-DUBAI ARENA (CITY WALK),Premarking,Vendor A,04/05/2022,11/07/2022,22/07/2022,Completed,1839978,2137445.75,297467.75,2591
PRJ-UAE-359,Sharjah,"Contract 301-726 Completion of Sewage Works at Al Ramtha and Al Quaz,Sharjah",Machine Marking TP,Vendor C,04/05/2022,27/06/2022,25/06/2022,Completed,545259,568753.2,23494.2,789
PRJ-UAE-229,Dubai,"Road marking works at Jabel Ali, Dubai -UAE",Cleaning,Vendor E,04/05/2022,19/06/2022,29/06/2022,Completed,1649132,1890120.79,240988.79,691
PRJ-UAE-510,Dubai,"Jafza Traders Market, Sectors 7&8 on Plot No,S51501,Jabel Al Free Zone, Dubai",Epoxy Floor Coating System,Vendor A,04/05/2022,16/07/2022,04/08/2022,Completed,2465937,2371553.89,-94383.11,2549
PRJ-UAE-204,Al Ain,": Road Marking Works at Plant Areas in Umm Al Quwain and Ras Al Khaimah, UAE",Epoxy Floor Coating System,Vendor G,05/05/2022,30/06/2022,26/06/2022,Completed,432837,453176.69,20339.69,2736
PRJ-UAE-619,Abu Dhabi,"Contract No.87/2020, Upgrade of the Arrival Terminal at the Presidential Flight - Abu Dhabi",Sand Blasting,Vendor G,05/05/2022,09/07/2022,21/07/2022,Completed,504719,1020101.48,515382.48,1801
PRJ-UAE-276,Dubai,Hills View at Dubai Hills,Maintenance,Vendor E,05/05/2022,20/07/2022,17/07/2022,Completed,2040538,2065787.83,25249.83,1397
PRJ-UAE-556,Abu Dhabi,Sand Blasting at Abu Dhabi,Sand Blasting,Vendor E,05/05/2022,29/07/2022,28/07/2022,Completed,2153851,2685011.38,531160.38,366
PRJ-UAE-834,Abu Dhabi,Souq Al Mina Meat and dates - Abu Dhabi,Machine Marking TP,Vendor A,06/05/2022,22/05/2022,22/05/2022,Completed,1450429,1363367.28,-87061.72,1171
PRJ-UAE-830,Dubai,Dubai Airport-Refurbishment Of Hammerhead,Hand Marking TP,Vendor C,06/05/2022,28/05/2022,26/05/2022,Completed,1005144,1199941.17,194797.17,2363
PRJ-UAE-434,Abu Dhabi,"J1026 Al Taweelah, Abu Dhabi",Epoxy Floor Coating System,Vendor A,06/05/2022,26/05/2022,05/06/2022,Completed,1572701,1947872.68,375171.68,2377
PRJ-UAE-276,Dubai,Hills View at Dubai Hills,Cleaning,Vendor C,07/05/2022,21/07/2022,17/07/2022,Completed,1975358,1924915.65,-50442.35,1993
PRJ-UAE-844,Dubai,"Manar Mall South Access Road Car Parking with VIP Parking, RAK (C-172)",Maintenance,Vendor G,08/05/2022,05/06/2022,13/06/2022,Completed,2073309,2482501.05,409192.05,2073
PRJ-UAE-680,Abu Dhabi,120-1013-American Community School - Abu Dhabi,  Hand Marking TP   ,Vendor A,08/05/2022,15/07/2022,26/07/2022,Completed,1518215,1453884.42,-64330.58,1732
PRJ-UAE-311,Ajman,KP0129-Road Marking Works - Damac Aykon Tower B,  Epoxy Floor Coating System   ,Vendor B,09/05/2022,16/06/2022,10/07/2022,Completed,810109,948910.31,138801.31,528
PRJ-UAE-869,Abu Dhabi,"Abu Dhabi Future School Program (Phase7, Package 2)",Epoxy Floor Coating System,Vendor F,09/05/2022,26/07/2022,12/08/2022,Completed,2013330,1953803.95,-59526.05,2780
PRJ-UAE-567,Dubai,Yard Marking at Jebel Ali,Machine Marking TP,Vendor D,10/05/2022,25/06/2022,25/06/2022,Completed,610850,695669.56,84819.56,913
PRJ-UAE-359,Sharjah,Road Marking at Sharjah Golf & Shooting Club,Sand Blasting,Vendor E,11/05/2022,28/05/2022,05/06/2022,Completed,465632,509808.38,44176.38,484
PRJ-UAE-112,Dubai,Dubai Hills Business Park-1.,Cold Marking,Vendor C,12/05/2022,26/07/2022,12/08/2022,Completed,1910450,1829431.83,-81018.17,709
PRJ-UAE-386,Dubai,Road Marking at Al Safa Dubai,Hand Marking TP,Vendor D,12/05/2022,15/06/2022,12/06/2022,Completed,1911382,1868164.85,-43217.15,308
PRJ-UAE-312,Dubai,Upgrading of Marina Mall Luxury Area,Machine Marking TP,Vendor A,12/05/2022,02/06/2022,12/06/2022,Completed,1904743,2139744.36,235001.36,2215
PRJ-UAE-421,Dubai,Dubai Airport 16389F67 - Echo Blue Printing Pricing Schedule,Sand Blasting,Vendor E,14/05/2022,07/06/2022,20/06/2022,Completed,934486,898787.55,-35698.45,626
PRJ-UAE-858,Dubai,"Proposed Entry & Footpath work on Plot No. TP070804 at Jabal Ali Industrial 3, Dubai",Maintenance,Vendor D,14/05/2022,15/06/2022,21/06/2022,Completed,753778,739690.29,-14087.71,138
PRJ-UAE-558,Abu Dhabi,L & TPC JV 2F2 ICAD-IV Road Tie in Work - Abu Dhabi,Cold Marking,Vendor F,15/05/2022,07/06/2022,06/06/2022,Completed,1448428,1447935,-493,129
PRJ-UAE-810,Abu Dhabi,"C042 - CICPA Car Parking at Ghayathy City, Abu Dhabi",Epoxy Floor Coating System,Vendor A,16/05/2022,05/07/2022,05/07/2022,Completed,1287054,1465311.14,178257.14,286
PRJ-UAE-702,Dubai,DWC Airport Marking,Hand Marking TP,Vendor A,17/05/2022,29/06/2022,28/06/2022,Completed,792632,806226.7,13594.7,459
PRJ-UAE-858,Dubai,"Proposed Entry & Footpath work on Plot No. TP070804 at Jabal Ali Industrial 3, Dubai",Maintenance,Vendor E,17/05/2022,20/07/2022,29/07/2022,Completed,2185247,2189775.69,4528.69,1089
PRJ-UAE-852,Ajman,Construction Of Muhaisnah Adnoc Service Station,Machine Marking TP,Vendor A,17/05/2022,31/07/2022,31/07/2022,Completed,760967,741472.16,-19494.84,338
PRJ-UAE-731,Dubai,SP-100-Dubai Air Port,Epoxy Floor Coating System,Vendor C,17/05/2022,04/06/2022,20/06/2022,Completed,1423096,1712033.63,288937.63,2486
PRJ-UAE-869,Abu Dhabi,"Abu Dhabi Future School Program (Phase7, Package 2)",Premarking,Vendor C,18/05/2022,13/07/2022,22/07/2022,Completed,1695868,1711429.31,15561.31,1733
PRJ-UAE-702,Dubai,DWC Airport Marking,Sand Blasting,Vendor D,18/05/2022,05/07/2022,03/07/2022,Completed,1243986,1268540.33,24554.33,217
PRJ-UAE-653,Abu Dhabi,"Road Marking Habshan,Abu Dhabi",Machine Marking TP,Vendor G,19/05/2022,08/07/2022,12/07/2022,Completed,682849,804751.04,121902.04,1217
PRJ-UAE-893,Abu Dhabi,Barakah Tarining Hanger Al Reef Abu dhabi,Machine Marking TP,Vendor C,20/05/2022,24/07/2022,07/08/2022,Completed,2427568,2266060.38,-161507.62,708
PRJ-UAE-894,dubai,Multi-User Facility - Phase -1 at the Logistics District at Dubai South,Hand Marking TP,Vendor G,20/05/2022,11/07/2022,10/07/2022,Completed,980402,991825.67,11423.67,1171
PRJ-UAE-359,Sharjah,Road Marking at Sharjah Golf & Shooting Club,Premarking,Vendor G,22/05/2022,01/08/2022,29/07/2022,Completed,365822,447772.32,81950.32,248
PRJ-UAE-495,Dubai,Design and Construction of Access Road and related Street Lighting Works for Plot WJ-5A at Dubai South,Premarking,Vendor B,22/05/2022,16/06/2022,30/06/2022,Completed,2207231,2070968.97,-136262.03,1122
PRJ-UAE-752,Ajman,SH005 Etihad Rail Network - Junction I,Epoxy Floor Coating System,Vendor G,22/05/2022,19/06/2022,17/06/2022,Completed,616580,631248.58,14668.58,1016
PRJ-UAE-230,Ajman,"Proposed Solid Waste Transfer Station at Al Jurf Industrial Zone 1, Ajman - UAE",Premarking,Vendor B,23/05/2022,04/08/2022,08/08/2022,Completed,228730,217029.9,-11700.1,2013
PRJ-UAE-643,Sharjah,R1581 Internal Roads For Al Hassiah Dhaid Sharjah,Hand Marking TP,Vendor C,23/05/2022,25/06/2022,23/06/2022,Completed,503028,507797.99,4769.99,247
PRJ-UAE-471,Fujairah,Bus stop text marking,Maintenance,Vendor A,23/05/2022,26/06/2022,06/07/2022,Completed,884672,946037.32,61365.32,2134
PRJ-UAE-816,Abu Dhabi,"Refurbishment of Existing Building and Construction of New Buildings for Astra Polymers at Kizad, Abu Dhabi, U.A.E.",Hand Marking TP,Vendor A,24/05/2022,23/07/2022,20/07/2022,Completed,848837,871203.2,22366.2,2690
PRJ-UAE-635,Dubai,Etihad Rail (Package 2C Dubai),Cleaning,Vendor B,24/05/2022,31/07/2022,06/08/2022,Completed,2420686,2836071.29,415385.29,1350
PRJ-UAE-329,Ajman,Sand Blasting at Wadi Helo,Cold Marking,Vendor F,24/05/2022,14/07/2022,21/07/2022,Completed,217527,236088.46,18561.46,1674
PRJ-UAE-238,Dubai,"Proposed G+1+R Apartment & Service Block, Saih Shuaib 2 at DIC, Dubai",Maintenance,Vendor D,24/05/2022,07/07/2022,26/07/2022,Completed,2242558,2583054.59,340496.59,753
PRJ-UAE-529,UAQ,R1164- ROADS & PARKING FOR SPORTS HALL IN  BATAYA SPORTS CLUB,Premarking,Vendor F,24/05/2022,17/08/2022,21/08/2022,Completed,750193,707131.19,-43061.81,2497
PRJ-UAE-350,Abu Dhabi,"ADNOC MBZ-2, Abu Dhabi",Epoxy Floor Coating System,Vendor C,25/05/2022,23/06/2022,11/07/2022,Completed,555250,524388.06,-30861.94,1498
PRJ-UAE-430,Dubai,"Proposed Light Industrial Unit - PH6 @ Plot No. 04-003 at Dubai Silicon Oasis, Dubai.",Sand Blasting,Vendor G,26/05/2022,14/06/2022,28/06/2022,Completed,1457242,1610640.25,153398.25,
PRJ-UAE-851,Dubai,Emaar South Development Phase-2 Golf Course,Epoxy Floor Coating System,Vendor F,27/05/2022,25/06/2022,07/07/2022,Completed,554344,552927.19,-1416.81,802
PRJ-UAE-710,Sharjah,R 1559 Parking Arrangement Subaiha Suburb Council in Zubara Khorfakkan,Premarking,Vendor E,28/05/2022,07/08/2022,18/08/2022,Completed,1090794,1222314.2,131520.2,2346
PRJ-UAE-415,RAK,Hospitality Employee Accomodation at Ras Al Khaimah,Cleaning,Vendor A,28/05/2022,23/06/2022,11/07/2022,Completed,188603,226386.2,37783.2,2600
PRJ-UAE-586,Ajman,OH-20-Revive Contracting Projects,Cold Marking,Vendor B,29/05/2022,05/07/2022,01/07/2022,Completed,487124,475245.68,-11878.32,1932
PRJ-UAE-551,RAK,"Mina Al Abar, Ras Al Khaima",Machine Marking TP,Vendor B,29/05/2022,05/07/2022,18/07/2022,Completed,235266,255900.04,20634.04,2747
PRJ-UAE-243,UAQ,"Construction of Marine Facilities at Barbera, Somaliland.",Premarking,Vendor A,30/05/2022,24/08/2022,22/08/2022,Completed,820574,823092.06,2518.06,1316
PRJ-UAE-840,Fujairah,Road Marking at Al Musalla and Al Raheeb,Hand Marking TP,Vendor B,01/06/2022,17/07/2022,28/07/2022,Completed,914544,1061424.01,146880.01,
PRJ-UAE-290,RAK,Construction Of Umm  Eselay Adnoc Service Station,Sand Blasting,Vendor B,02/06/2022,02/08/2022,21/08/2022,Completed,409399,470506.84,61107.84,1588
PRJ-UAE-556,Abu Dhabi,Sand Blasting at Abu Dhabi,Premarking,Vendor E,02/06/2022,02/07/2022,29/06/2022,Completed,1289707,1251046.31,-38660.69,2295
PRJ-UAE-695,Dubai,DAS019/23-Dubai Airshow 2019-Miscellaneous Works,Sand Blasting,Vendor E,03/06/2022,15/08/2022,03/09/2022,Completed,2037699,2059378.21,21679.21,2089
PRJ-UAE-421,Dubai,"Road Marking works at Jumeirah Village Dubai, UAE",Machine Marking TP,Vendor C,04/06/2022,28/07/2022,22/08/2022,Completed,1711422,1822912.78,111490.78,1450
PRJ-UAE-106,Abu Dhabi,Perma-Pipe ICAD Facility - Abu Dhabi,Premarking,Vendor F,04/06/2022,04/08/2022,03/08/2022,Completed,1462070,1777393.87,315323.87,95
PRJ-UAE-369,Sharjah,Infrastructure Work for Phase 3 at Masaar - Sharjah (DJ-634),Premarking,Vendor D,05/06/2022,03/09/2022,26/09/2022,Completed,,469012.61,51728.61,2048
PRJ-UAE-661,,Dubai Police General Headquarters,Hand Marking TP,Vendor D,06/06/2022,21/08/2022,27/08/2022,Completed,2106122,2129947.86,23825.86,992
PRJ-UAE-810,Abu Dhabi,"C042 - CICPA Car Parking at Ghayathy City, Abu Dhabi",Machine Marking TP,Vendor D,07/06/2022,18/07/2022,07/08/2022,Completed,1192611,1441935.28,249324.28,2688
PRJ-UAE-165,Sharjah,2B+G+3F+R Aster Hospital on Plot No.1182 at Budaniq-Sharjah,Epoxy Floor Coating System,Vendor C,07/06/2022,04/08/2022,10/08/2022,Completed,1322057,1355304.44,33247.44,2288
PRJ-UAE-772,Sharjah,"Proposed Livestock Marking Al Zabara Industrial Area,Khorfakkan-Plot No.215",Machine Marking TP,Vendor A,08/06/2022,26/06/2022,03/07/2022,Completed,1195856,1216272.67,20416.67,840
PRJ-UAE-556,Abu Dhabi,Sand Blasting at Abu Dhabi,Hand Marking TP,Vendor C,09/06/2022,03/08/2022,25/08/2022,Completed,2048820,2170506.79,121686.79,2451
PRJ-UAE-688,Ajman,Etihad Rail Stage 2 - Package 2B,Maintenance,Vendor C,09/06/2022,19/08/2022,18/08/2022,Completed,801880,773095.17,-28784.83,615
PRJ-UAE-343,Al Ain,Hassyan Energy Power Plant - Remaining Works of Underground and Asphalt/Concrete Paving,Cleaning,Vendor B,10/06/2022,20/07/2022,20/07/2022,Completed,718313,724579.94,6266.94,2401
PRJ-UAE-171,Dubai,"Burjeel Medical City, Mohammed Bin Zayed City",Cleaning,Vendor G,10/06/2022,03/07/2022,25/07/2022,Completed,2213373,2269767.44,56394.44,1728
PRJ-UAE-364,Dubai,": Discovery Dunes Site Wide Infrastructure Work, Dubai South - UAE",Premarking,Vendor A,11/06/2022,05/07/2022,25/07/2022,Completed,1726465,1622371.56,-104093.44,1457
PRJ-UAE-430,Abu Dhabi,"Road Marking at Kizad, Abu Dhabi",Cold Marking,Vendor F,12/06/2022,29/06/2022,04/07/2022,Completed,1922682,1785253.89,-137428.11,1487
PRJ-UAE-396,Sharjah,"Road Marking in Front of Matajer Mall, Al Quoz Sharjah",Cold Marking,Vendor D,13/06/2022,06/07/2022,26/07/2022,Completed,1102523,1130195.25,27672.25,2635
PRJ-UAE-766,Sharjah,Road Marking In Sharjah Emirates,Premarking,Vendor D,14/06/2022,31/08/2022,22/09/2022,Completed,944461,1089293.2,144832.2,2007
PRJ-UAE-680,Abu Dhabi,120-1013-American Community School - Abu Dhabi,Epoxy Floor Coating System,Vendor G,16/06/2022,04/07/2022,02/07/2022,Completed,556101,655752.19,99651.19,1002
PRJ-UAE-763,Dubai,R-881/2A2-1 Comprehensive Improvements of Parallel Roads,Epoxy Floor Coating System,Vendor E,16/06/2022,03/08/2022,19/08/2022,Completed,1196413,1438912.53,242499.53,2288
PRJ-UAE-389,Dubai,ENOC Occuptional Health Center on Plot 599-206 Jebal Ali - Dubai,Hand Marking TP,Vendor D,17/06/2022,17/08/2022,27/08/2022,Completed,1255617,1373973.62,118356.62,2335
PRJ-UAE-713,Dubai,"Design & Construction of South Bay Infrastructure, Landscape and Lagoon Works at The Residential District of Dubai South, Dubai",Cleaning,Vendor A,17/06/2022,08/09/2022,13/09/2022,Completed,753717,772069.03,18352.03,2526
PRJ-UAE-766,Abu Dhabi,"ADNOC Ruwais,Abu Dhabi",Maintenance,Vendor B,17/06/2022,19/08/2022,25/08/2022,Completed,1186508,1124512.8,-61995.2,906
PRJ-UAE-338,Dubai,"Road marking works at Bur Dubai & Dubai South, UAE",Maintenance,Vendor G,18/06/2022,27/07/2022,01/08/2022,Completed,1231502,1248235.74,16733.74,
PRJ-UAE-305,Ajman,Al Jubail Island Road Marking,Epoxy Floor Coating System,Vendor A,18/06/2022,16/09/2022,22/09/2022,Completed,600235,905381.51,305146.51,2194
PRJ-UAE-395,Sharjah,Temporary Thermoplastic work at Etihad Rail Maliha Road - Sharjah,Hand Marking TP,Vendor E,18/06/2022,20/08/2022,08/09/2022,Completed,642505,628979.93,-13525.07,1678
PRJ-UAE-649,Dubai,Additional Road Marking Work at Site Parking Area Marking at Al Twar - Dubai,Sand Blasting,Vendor A,19/06/2022,05/08/2022,04/08/2022,Completed,1711333,2067236.48,355903.48,2080
PRJ-UAE-173,Ajman,Lehbab Police Station Plot 831-225,Hand Marking TP,Vendor C,19/06/2022,24/07/2022,17/08/2022,Completed,837696,793689.08,-44006.92,2627
PRJ-UAE-270,Sharjah,E311- Road Marking Works at Wasit in SHJ to Khalifa2 UAQ -UAE,Cold Marking,Vendor A,20/06/2022,05/08/2022,29/08/2022,Completed,1092504,1209668.5,117164.5,1454
PRJ-UAE-814,Ajman,Construction of 5 Heliports in the Northern Emirates,Cold Marking,Vendor F,20/06/2022,01/09/2022,30/08/2022,Completed,834149,778127.86,-56021.14,643
PRJ-UAE-579,Abu Dhabi,"Masjid Parking at Al Reef,Abu Dhabi",Machine Marking TP,Vendor B,20/06/2022,24/07/2022,21/07/2022,Completed,2435341,3019315.37,583974.37,175
PRJ-UAE-553,Sharjah,Shoumous Residential Complex at Al Beleda Sharjah(DJ-497),Cleaning,Vendor D,20/06/2022,12/08/2022,09/08/2022,Completed,951660,947059.04,-4600.96,749
PRJ-UAE-226,Dubai,Speed table marking on Dubai Academic  City,Cold Marking,Vendor A,21/06/2022,09/08/2022,03/09/2022,Completed,1746475,1729603.56,-16871.44,2655
PRJ-UAE-578,UAQ,NAD AL HAMAR PARKING,  Sand Blasting   ,Vendor E,21/06/2022,19/07/2022,09/08/2022,Completed,700210,861011.59,160801.59,1463
PRJ-UAE-374,Abu Dhabi,Ruwais Distribution Center (RBC) Plot No.P83,Sand Blasting,Vendor C,23/06/2022,18/09/2022,18/09/2022,Completed,714585,733401.79,18816.79,558
PRJ-UAE-177,,New U-Turn (Old E11 & Ghayathi Road),Premarking,Vendor B,23/06/2022,07/08/2022,03/08/2022,Completed,402495,447003.83,44508.83,1970
PRJ-UAE-111,Dubai,Design and Build Contract for Dubai Metro Blue Line (Project Number RA/RPD/23-9571),Maintenance,Vendor D,23/06/2022,19/07/2022,23/07/2022,Completed,2312993,2749285.03,436292.03,600
PRJ-UAE-834,Abu Dhabi,Souq Al Mina Meat and dates - Abu Dhabi,Premarking,Vendor E,24/06/2022,21/09/2022,04/10/2022,Completed,2133044,2069867.55,-63176.45,1254
PRJ-UAE-540,UAQ,Road Marking Works at Ref PR316,Sand Blasting,Vendor A,25/06/2022,12/08/2022,08/08/2022,Completed,674932,667571.37,-7360.63,
PRJ-UAE-215,Fujairah,Road Marking Al Raha Beach Car Parking Project,Epoxy Floor Coating System,Vendor A,26/06/2022,25/07/2022,10/08/2022,Completed,175074,168382.34,-6691.66,726
PRJ-UAE-308,Abu Dhabi,ERTH Abu Dhabi Hotel (Formerly AFOC&H),Cold Marking,Vendor G,26/06/2022,26/08/2022,25/08/2022,Completed,1058683,1071046.6,12363.6,580
PRJ-UAE-728,Dubai,Dubai International Airport EXpansion (Phase-111)-DP/INF/016B/South Runway Rehabilitation and Associated Works,Maintenance,Vendor B,26/06/2022,27/08/2022,26/08/2022,Completed,990772,1011547.71,20775.71,215
PRJ-UAE-310,Abu Dhabi,"Road Marking Works at Khalifa Hospital, Fujairah-UAE",Premarking,Vendor E,26/06/2022,24/09/2022,29/09/2022,Completed,1014393,1118639.84,104246.84,178
PRJ-UAE-772,Abu Dhabi,Miscellaneous Work Inside Abu Dhabi Island 2/2016,Sand Blasting,Vendor F,26/06/2022,21/07/2022,07/08/2022,Completed,829372,825914.2,-3457.8,1022
PRJ-UAE-567,Abu Dhabi,Road Marking work at Abu Dhabi,Maintenance,Vendor A,27/06/2022,01/09/2022,01/09/2022,Completed,1694185,1741600.54,47415.54,655
